customerid,customername,customerrating,totalrides,customerfeedback,location,frequentdropofflocation,age,gender
cust509,Rohan Seth,3.4,27,Aliquid doloribus suscipit tempora consequuntur molestias similique.,Ghatkopar,Sion,33,Other
cust510,Vedika Dhingra,2.3,37,Quis et dignissimos harum maxime.,Ghatkopar,Kurla,52,Other
cust511,Vritika Zacharia,2.4,34,Pariatur placeat itaque officia illum sunt.,Juhu,Thane,49,Female
cust512,Armaan Balakrishnan,1.4,93,Beatae illo cumque debitis iste.,Kurla,Vashi,38,Male
cust513,Trisha Loke,2.5,53,Voluptatem labore odit numquam expedita sunt.,Colaba,Borivali,32,Other
cust514,Eva Tella,1.6,34,Rem blanditiis esse neque.,Thane,Sion,55,Other
cust515,Pranay Zacharia,3.9,38,Dolorem natus praesentium autem ducimus quas.,Dadar,Bandra,39,Male
cust516,Divyansh Issac,2.5,32,Praesentium iure facilis inventore a reiciendis atque nihil.,Kurla,Thane,59,Other
cust517,Raghav Dhaliwal,2.4,98,Illum nulla doloremque et praesentium.,Kandivali,Kurla,64,Other
cust518,Yasmin Jaggi,4.0,59,Labore facere aspernatur veritatis fuga.,Dadar,Versova,40,Male
cust519,Fateh Walia,1.6,70,Expedita deserunt aliquam explicabo temporibus.,Kurla,Dadar,52,Other
cust520,Trisha Choudhury,4.8,68,Animi mollitia eveniet itaque pariatur ullam.,Colaba,Kandivali,22,Other
cust521,Zain Kalita,1.2,1,Suscipit deserunt expedita cumque soluta incidunt eaque.,Ghatkopar,Dadar,58,Male
cust522,Jivika Bava,1.3,20,Tenetur voluptates fugiat earum.,Colaba,Bandra,50,Female
cust523,Krish Brahmbhatt,2.5,80,Maxime harum natus ex atque laboriosam mollitia.,Malad,Malad,57,Female
cust524,Samar Srinivasan,3.6,3,Dolorem animi distinctio doloribus.,Colaba,Thane,53,Female
cust525,Stuvan Uppal,1.0,68,Unde amet eum vitae iure.,Versova,Andheri,52,Female
cust526,Anika Gade,1.1,90,Laboriosam voluptas ipsa temporibus maiores voluptas exercitationem.,Malad,Ghatkopar,29,Male
cust527,Ritvik Raj,4.7,68,Vel iure deleniti dolor praesentium praesentium.,Dadar,Bandra,30,Other
cust528,Rohan Chaudhary,3.1,46,Recusandae exercitationem facere praesentium tempora odit maxime.,Andheri,Vashi,43,Male
cust529,Aradhya Madan,2.5,52,Aspernatur a laborum itaque debitis placeat.,Kurla,Borivali,33,Other
cust530,Saanvi Amble,1.9,88,Tempore neque deleniti.,Kandivali,Kandivali,23,Other
cust531,Vedika Chaudhari,5.0,84,Distinctio voluptate maxime cum quae ducimus sunt.,Vashi,Colaba,23,Female
cust532,Vivaan Shroff,2.5,71,Dolore suscipit et facere adipisci excepturi vel.,Kurla,Colaba,58,Male
cust533,Yashvi Dutt,3.8,11,Rerum veniam eos itaque est doloribus delectus.,Kurla,Kandivali,45,Other
cust534,Bhamini Karpe,4.1,73,Aperiam quae tempora repellendus deserunt perferendis inventore.,Kandivali,South Mumbai,51,Male
cust535,Khushi Kaul,1.9,89,Vel excepturi sapiente asperiores molestiae dolorum.,Sion,Borivali,48,Female
cust536,Onkar Kata,1.2,10,Eius voluptatum voluptatum velit saepe soluta.,Malad,Sion,35,Other
cust537,Kismat Kaur,3.3,5,Sit ratione laudantium ipsa.,Dadar,Sion,38,Male
cust538,Romil Barad,4.8,76,Molestiae nam eius asperiores magnam.,Dadar,Vashi,63,Female
cust539,Stuvan Babu,4.7,39,Sit est ipsa ea.,Dadar,Borivali,33,Other
cust540,Farhan Kuruvilla,4.3,50,Vitae velit quos corporis eaque.,Malad,Sion,52,Female
cust541,Onkar Bora,2.5,95,Omnis unde enim ipsa non vitae.,Dadar,Vashi,62,Other
cust542,Aayush Gara,1.3,96,Fugit quos beatae.,Juhu,Colaba,24,Female
cust543,Samiha Gole,1.9,10,Ipsum dolorum id sit doloremque vero nobis.,Juhu,Borivali,57,Other
cust544,Taimur Dani,2.6,100,Repudiandae rem dolorum culpa.,Juhu,Colaba,58,Female
cust545,Pihu Gandhi,4.1,58,Ad officia sequi necessitatibus.,Kurla,Bandra,40,Other
cust546,Keya Jayaraman,4.8,56,Autem expedita quis corrupti adipisci ipsum esse.,Dadar,Malad,55,Other
cust547,Nishith Sani,2.5,99,Repudiandae sint asperiores at.,Borivali,Andheri,33,Other
cust548,Shanaya Bir,1.3,35,Praesentium dolor dolorem consequatur tempora magni ipsa.,Dadar,Ghatkopar,63,Other
cust549,Jivika Babu,1.6,50,Quaerat nam facere dolor autem id voluptatem.,Juhu,Juhu,24,Male
cust550,Alia Koshy,1.0,40,Iste voluptatem officia quibusdam.,Kurla,Juhu,35,Male
cust551,Indranil Baral,1.5,24,Doloremque itaque rerum harum.,Ghatkopar,Kurla,53,Other
cust552,Anay Goyal,3.0,14,Est quaerat iste.,Colaba,South Mumbai,40,Other
cust553,Lagan Walia,1.4,77,Eos aperiam unde amet.,Vashi,Juhu,42,Male
cust554,Shlok Sheth,2.2,50,Blanditiis beatae perferendis qui recusandae incidunt.,Vashi,South Mumbai,64,Other
cust555,Yasmin Gola,4.6,32,Blanditiis dolore inventore molestiae inventore.,Borivali,Thane,28,Other
cust556,Nayantara Bose,2.5,18,Explicabo consequatur mollitia illum omnis consectetur repellat veritatis.,Andheri,Andheri,35,Female
cust557,Reyansh Rattan,1.6,22,Enim impedit voluptatum nisi quibusdam eum ex ad.,Ghatkopar,Andheri,44,Female
cust558,Lagan Chahal,2.9,10,Quos iure autem eos fuga porro corporis.,Juhu,Andheri,33,Other
cust559,Zara Sidhu,3.5,77,Sit fugit reiciendis rem culpa blanditiis.,Borivali,Bandra,47,Male
cust560,Samarth Dugar,1.5,1,Excepturi nihil qui ea.,Ghatkopar,Juhu,57,Female
cust561,Pari Subramaniam,4.2,43,Facilis voluptatum impedit cumque nihil ab voluptas.,Kurla,Juhu,45,Other
cust562,Advika Wason,4.9,18,Quo fugiat dolore eveniet debitis corrupti fuga.,Andheri,Juhu,56,Other
cust563,Aaryahi Venkatesh,1.8,41,Sed repellendus ab id architecto.,Dadar,Ghatkopar,38,Female
cust564,Reyansh Dada,3.9,82,Facere eos dignissimos eaque eveniet iusto maiores non.,Kurla,Borivali,33,Female
cust565,Anahi Bala,2.5,51,Laudantium ad suscipit sit.,Juhu,South Mumbai,54,Male
cust566,Kiaan Swamy,3.4,70,Accusantium minima harum sunt ipsum culpa vel.,Dadar,Malad,53,Male
cust567,Farhan Baral,4.8,60,Dignissimos nesciunt nobis illo officia.,Versova,Bandra,46,Female
cust568,Shanaya Gandhi,4.3,9,Ut commodi voluptas.,Kandivali,Kandivali,44,Other
cust569,Dhanuk Manne,3.0,82,Numquam dolorem neque voluptatum.,Andheri,Bandra,34,Other
cust570,Elakshi Sarna,1.6,55,Eius velit nam ut exercitationem voluptates ipsa.,Vashi,Ghatkopar,22,Female
cust571,Zara Gandhi,5.0,62,Suscipit asperiores libero et mollitia.,Borivali,Ghatkopar,52,Other
cust572,Anahita Toor,4.7,89,Consectetur earum exercitationem iure.,Ghatkopar,Thane,20,Female
cust573,Bhamini Sawhney,3.8,69,Minus animi saepe deleniti ipsam.,Borivali,Malad,23,Male
cust574,Anahita Bera,4.1,85,Repellat animi autem ex asperiores qui.,Malad,Juhu,28,Other
cust575,Nayantara Saxena,3.5,73,Soluta vitae sequi natus ipsum.,Malad,Malad,59,Female
cust576,Jivika Dhillon,4.9,43,Numquam qui impedit eos odio expedita est.,Vashi,Ghatkopar,24,Male
cust577,Azad Bath,1.4,29,Totam quaerat officiis saepe.,Thane,Versova,51,Other
cust578,Hrishita Jayaraman,3.3,74,Cupiditate id cumque dolorem temporibus aut ut.,Bandra,Kurla,41,Female
cust579,Aarush Sahni,2.9,87,Ab impedit possimus.,Borivali,Versova,50,Male
cust580,Yakshit Suri,2.4,4,Inventore repellendus odio dignissimos nemo.,Kurla,South Mumbai,36,Female
cust581,Riaan Lad,4.7,11,Aperiam cupiditate aliquam nisi laborum.,South Mumbai,Kandivali,64,Male
cust582,Sana Sharma,2.4,44,Quibusdam saepe ullam quis perferendis.,Kurla,Vashi,31,Other
cust583,Aaryahi Soman,2.9,61,Provident aliquam eos reprehenderit libero.,South Mumbai,Kurla,64,Other
cust584,Madhup Dubey,2.8,9,Ipsam in necessitatibus dolores.,Andheri,Colaba,63,Male
cust585,Azad Kala,1.1,44,Enim excepturi odio modi.,Malad,South Mumbai,61,Male
cust586,Jayant Sha,4.7,95,Fugit voluptates ut adipisci dicta perspiciatis rerum.,Bandra,Thane,29,Other
cust587,Damini Kanda,1.6,72,Saepe dignissimos nostrum non molestiae.,Ghatkopar,Kurla,32,Female
cust588,Hrishita Baral,3.5,24,Ducimus dolore amet nihil.,Malad,Malad,45,Female
cust589,Samaira Kapur,1.1,79,Itaque atque eaque voluptates quod atque.,Sion,Bandra,46,Other
cust590,Ojas Sachdeva,2.7,1,Corrupti voluptas quia dolorum.,Versova,Bandra,31,Female
cust591,Samiha Brar,4.0,9,Ratione recusandae soluta voluptatibus.,Borivali,South Mumbai,52,Male
cust592,Trisha Lanka,2.5,26,Eligendi ab placeat numquam nobis repudiandae incidunt.,Kurla,South Mumbai,34,Other
cust593,Urvi Bala,4.5,68,Recusandae a occaecati accusantium quae consectetur voluptatem.,Malad,Juhu,56,Female
cust594,Azad Sur,3.4,76,Sunt inventore dolores ipsum.,South Mumbai,Juhu,40,Female
cust595,Lavanya Lall,3.5,87,Quibusdam et quis itaque iusto laudantium cum sunt.,Versova,Vashi,37,Other
cust596,Vaibhav Ghose,3.4,87,Alias assumenda architecto maxime molestiae.,Dadar,Juhu,25,Male
cust597,Prerak Ghosh,2.2,24,Nulla reprehenderit minus eius tempora atque quam.,Juhu,Versova,27,Other
cust598,Biju Dhar,2.6,77,Dolores neque quis tempore dolor.,Dadar,Borivali,42,Female
cust599,Hrishita Sachdev,1.7,82,Asperiores mollitia debitis voluptates corrupti natus nostrum.,Thane,Versova,59,Male
cust600,Kabir Dhawan,3.2,63,Minus animi pariatur aliquam.,Andheri,Dadar,29,Female
cust601,Darshit Rout,4.4,80,Perferendis consectetur est unde aperiam optio iusto aperiam.,Colaba,Kandivali,40,Male
cust602,Kabir Soni,2.9,25,Adipisci vitae exercitationem debitis nemo quis sunt possimus.,Kandivali,Ghatkopar,53,Other
cust603,Sumer Cheema,3.6,53,Doloremque animi nobis nostrum praesentium a.,Malad,Kurla,44,Other
cust604,Nitya Bains,4.4,63,Pariatur unde maiores.,Dadar,South Mumbai,54,Male
cust605,Jayant Vora,4.2,29,Reiciendis aliquid maiores excepturi commodi blanditiis temporibus.,Andheri,Colaba,35,Male
cust606,Madhup Chaudhary,3.2,22,Excepturi at blanditiis.,Vashi,Kurla,54,Other
cust607,Eshani Sane,4.1,64,Hic facere necessitatibus occaecati.,Thane,Thane,25,Other
cust608,Samarth Sarkar,1.5,100,Libero repellat nobis.,Thane,Kandivali,41,Other
cust609,Samarth Mahajan,4.3,6,Quisquam incidunt reprehenderit velit officia.,Vashi,Versova,46,Other
cust610,Saanvi Sarin,1.9,55,Cupiditate itaque possimus eligendi.,South Mumbai,Versova,59,Male
cust611,Nakul Brahmbhatt,2.2,5,Voluptatem perferendis magni totam.,Kurla,Andheri,40,Male
cust612,Kavya Manda,2.8,16,Exercitationem illum sunt sint quas accusamus.,Vashi,Vashi,33,Male
cust613,Pihu Ganesh,4.2,76,Dignissimos animi provident dolor mollitia natus.,Versova,Juhu,63,Other
cust614,Tiya Buch,3.5,22,Omnis assumenda iusto earum ducimus nobis.,Borivali,Dadar,31,Male
cust615,Kartik Sankar,4.2,73,Eaque expedita exercitationem accusamus modi esse.,Juhu,Thane,35,Other
cust616,Priyansh Mahal,3.2,42,Possimus tempore quam hic.,Versova,Andheri,36,Other
cust617,Indrajit Atwal,2.1,66,Reprehenderit atque dignissimos enim.,Sion,Malad,24,Male
cust618,Jivika Rajagopalan,4.9,53,Repudiandae explicabo reiciendis quisquam aperiam ut.,Sion,Colaba,35,Other
cust619,Ayesha Kala,1.5,17,Earum consectetur voluptatem ad accusamus accusantium aliquid.,Bandra,Dadar,63,Female
cust620,Lakshit Seshadri,4.3,98,Perferendis animi rerum et.,Kandivali,Malad,43,Female
cust621,Rasha Varughese,1.6,81,Quo ut nostrum quae distinctio sequi error officia.,Andheri,Malad,44,Female
cust622,Jivin Hora,2.8,82,Velit suscipit ipsum repudiandae.,Vashi,Sion,23,Female
cust623,Baiju Doctor,3.1,36,Magni quisquam quibusdam eos atque odit totam.,Versova,Sion,41,Female
cust624,Rhea Mallick,4.8,42,Atque expedita assumenda quae dolore impedit officiis.,Borivali,Colaba,64,Male
cust625,Ahana  Chada,3.9,59,Aperiam necessitatibus harum nesciunt reiciendis id veritatis.,Malad,Malad,62,Female
cust626,Zoya Kamdar,4.4,69,Iure necessitatibus tempore maxime.,Ghatkopar,Bandra,45,Male
cust627,Kiara Mane,3.0,42,Blanditiis odio quod ad assumenda eligendi blanditiis.,Kandivali,Andheri,39,Other
cust628,Jayan Sanghvi,3.3,73,Explicabo commodi nulla dolor voluptate similique.,Kandivali,Kurla,39,Other
cust629,Ehsaan Ramakrishnan,4.0,6,Saepe expedita illo tempore magnam enim vitae.,South Mumbai,Malad,47,Male
cust630,Veer Upadhyay,1.5,21,Earum eligendi recusandae assumenda veritatis labore excepturi.,Kurla,Kurla,18,Female
cust631,Tara Gola,1.8,89,Consequuntur nulla aliquam consequatur dicta magnam.,Sion,Dadar,59,Female
cust632,Saksham Barad,1.6,36,In saepe odio neque harum.,South Mumbai,Malad,41,Female
cust633,Vidur Tiwari,1.3,86,Voluptatibus ipsam magnam laudantium iure soluta eum.,Sion,Malad,28,Male
cust634,Aarav Banerjee,2.6,40,Nihil ratione accusantium facilis magnam.,Versova,Versova,32,Female
cust635,Nayantara Dâ€™Alia,3.6,91,Itaque soluta neque modi nisi rem nulla.,South Mumbai,Colaba,31,Female
cust636,Jiya Saxena,1.3,76,Eum consectetur velit deleniti accusamus.,Bandra,Thane,61,Female
cust637,Lakshay Thakkar,1.0,90,Commodi voluptatem ipsum doloribus.,Juhu,Kandivali,25,Female
cust638,Shaan Sachdeva,3.8,62,Mollitia nemo dignissimos labore incidunt.,South Mumbai,Bandra,42,Male
cust639,Vidur Guha,3.9,14,Soluta soluta fuga molestiae.,South Mumbai,Juhu,41,Female
cust640,Adah Dhar,1.5,100,Beatae eveniet culpa repellendus.,Kandivali,Vashi,26,Other
cust641,Kiara Saini,5.0,19,Autem eveniet dignissimos est occaecati adipisci.,South Mumbai,Thane,54,Male
cust642,Sara Kapur,3.4,22,Neque dolor consectetur eum error.,Kurla,Juhu,64,Male
cust643,Alisha Kamdar,3.5,20,Perferendis sunt cum fugiat laborum.,Sion,Ghatkopar,57,Other
cust644,Dhanush Viswanathan,2.8,28,Explicabo veritatis corrupti deleniti quo beatae.,South Mumbai,Sion,24,Male
cust645,Stuvan Kulkarni,4.0,76,Ea exercitationem corrupti placeat deserunt ratione inventore.,Versova,Ghatkopar,40,Female
cust646,Samiha Bhakta,2.3,18,Suscipit sint incidunt velit aliquid.,Bandra,Andheri,59,Male
cust647,Tara Babu,2.0,77,Maiores id perferendis.,Borivali,Versova,56,Female
cust648,Abram Sastry,4.1,89,Laudantium nobis harum.,Colaba,Kandivali,60,Female
cust649,Chirag Chandran,1.8,78,Quisquam atque voluptatibus quisquam minus at.,Thane,Bandra,65,Female
cust650,Biju Chandra,2.2,7,Id explicabo iste provident consequuntur ipsum facere.,Vashi,Sion,33,Female
cust651,Kartik Joshi,2.5,31,Molestiae repudiandae sint.,Kurla,Malad,56,Male
cust652,Lavanya Dugar,3.1,2,Sit eum tenetur ducimus voluptatum earum natus facilis.,Juhu,Sion,38,Male
cust653,Aarush Dâ€™Alia,2.5,73,Nulla at voluptate laudantium cumque laborum cumque.,Ghatkopar,Juhu,52,Other
cust654,Arnav Savant,1.7,61,Ipsum similique voluptatibus magnam ut ea voluptates.,Vashi,South Mumbai,19,Other
cust655,Seher Bhatti,1.3,34,Consequatur quos mollitia assumenda nemo ab.,Bandra,Colaba,21,Female
cust656,Vivaan Kade,3.0,81,Dolorem eum eaque reprehenderit ipsam consequuntur.,Versova,Thane,44,Female
cust657,Sahil Koshy,3.8,11,Blanditiis praesentium reiciendis quia.,Malad,Thane,52,Other
cust658,Vihaan Kamdar,1.6,11,Eveniet impedit explicabo consequuntur aliquid saepe quam.,Andheri,South Mumbai,50,Male
cust659,Mahika Dube,4.9,20,Blanditiis cum sapiente quisquam impedit tempore quos.,Thane,Juhu,43,Other
cust660,Aaina Choudhary,3.5,84,Eius quidem illum laudantium eaque debitis.,Malad,Malad,22,Female
cust661,Ehsaan Bains,3.8,94,Odio officiis dolorem blanditiis deserunt.,Kandivali,Bandra,21,Male
cust662,Dhanush Sibal,1.3,56,Fugiat alias consectetur cum harum.,South Mumbai,Kurla,57,Other
cust663,Ritvik Tiwari,1.2,86,Quisquam eveniet ut distinctio iure recusandae dolores.,Versova,Malad,65,Male
cust664,Dharmajan Kaul,1.5,91,Dicta praesentium provident.,Dadar,Versova,18,Male
cust665,Heer Gour,3.0,45,Ratione saepe saepe repellat minus.,Thane,Thane,64,Female
cust666,Saksham Dhillon,1.7,17,Natus ipsam molestiae esse nisi quas.,Versova,Vashi,35,Other
cust667,Ranbir Tata,4.5,99,Ipsum magni optio corporis sed.,Sion,Colaba,39,Female
cust668,Dishani Sandhu,2.1,9,Explicabo officiis minus dolore mollitia nesciunt itaque.,Andheri,Versova,54,Other
cust669,Madhav Zachariah,1.3,59,Sint incidunt facilis quidem unde totam ab.,Thane,Juhu,21,Female
cust670,Farhan Sankaran,4.4,22,Quo adipisci impedit et.,Juhu,Dadar,34,Male
cust671,Emir Bhardwaj,4.6,87,Aspernatur cum deleniti animi reprehenderit.,Versova,South Mumbai,32,Other
cust672,Dhanush Krish,3.0,6,Vero cum doloribus dolore neque natus.,Kandivali,Kandivali,18,Male
cust673,Shalv Ratta,1.2,47,Maiores aliquam laudantium animi molestiae.,Ghatkopar,Sion,27,Male
cust674,Hunar Kalita,4.7,5,Nemo maiores optio natus aut.,Thane,Vashi,63,Other
cust675,Jayan Mangal,3.6,29,Nam fuga maxime tempora accusantium.,Juhu,Bandra,44,Other
cust676,Abram Chaudhry,2.3,10,Voluptates id aliquid saepe est quibusdam qui.,Borivali,Juhu,25,Other
cust677,Farhan Bhardwaj,3.7,7,Voluptatibus aliquid accusantium cumque veritatis quasi ipsum.,Dadar,Bandra,51,Male
cust678,Badal Chaudhry,4.8,9,Vero rerum assumenda consequuntur excepturi corrupti.,Sion,Kurla,36,Female
cust679,Mannat Lanka,2.3,71,Sint sunt nobis reiciendis.,Kurla,Colaba,41,Male
cust680,Damini Saraf,2.2,39,Voluptatibus rem cumque sapiente suscipit rem.,Versova,Borivali,33,Female
cust681,Tushar Sachdeva,2.5,64,Laudantium placeat voluptatibus ducimus.,Vashi,Vashi,30,Other
cust682,Abram Ramaswamy,4.6,98,Mollitia eius porro iusto repellat.,Vashi,Bandra,27,Male
cust683,Aniruddh Choudhary,4.7,4,Nobis ad dicta esse.,Bandra,Thane,40,Other
cust684,Raunak Walla,4.4,2,Quasi tempore repellendus eaque.,Juhu,Colaba,60,Female
cust685,Tushar Dugal,4.4,94,Placeat laboriosam nesciunt esse facilis recusandae.,Andheri,South Mumbai,31,Other
cust686,Lakshay Dara,4.9,54,Similique rem placeat voluptas sint.,Kurla,Colaba,27,Other
cust687,Dishani Hayre,2.1,6,Qui eius recusandae reprehenderit quod eius nobis.,Sion,Bandra,51,Female
cust688,Nishith Kannan,3.8,48,Reprehenderit aspernatur quos architecto mollitia voluptatem pariatur.,Kurla,Versova,23,Other
cust689,Vivaan Hegde,1.4,18,Nisi aperiam iure tempore reprehenderit voluptate.,Malad,Kandivali,43,Male
cust690,Zeeshan Agarwal,3.4,8,Delectus nobis dicta ducimus quibusdam quae.,Ghatkopar,Malad,26,Male
cust691,Rohan Chana,2.2,41,Deleniti aliquid rerum quidem nemo nostrum non.,Sion,Vashi,43,Other
cust692,Hiran Rajan,4.3,42,Vero voluptatum iure ut magni.,Juhu,Kurla,35,Male
cust693,Armaan Kothari,1.3,26,Atque amet atque necessitatibus sequi iste iure.,Dadar,Vashi,55,Male
cust694,Samar Deol,1.6,22,Quidem maiores excepturi ullam incidunt omnis facere.,Kurla,Kurla,38,Female
cust695,Reyansh Sehgal,1.5,46,Fuga alias architecto.,Vashi,Bandra,46,Female
cust696,Amani Sem,2.9,16,Cupiditate non voluptates molestias doloribus sit.,South Mumbai,Dadar,61,Female
cust697,Ahana  Rajan,4.3,90,Odit laborum dicta vero quo eum at.,Borivali,Colaba,31,Female
cust698,Yuvraj  Uppal,1.6,92,Ducimus odit magni architecto sit ipsum.,Bandra,Juhu,43,Other
cust699,Hridaan Sodhi,1.2,39,Perspiciatis voluptas sint inventore corrupti mollitia.,Andheri,Kandivali,29,Male
cust700,Dhruv Loke,4.8,58,Nisi cumque suscipit iste nihil odit voluptate necessitatibus.,Thane,Versova,53,Male
cust701,Neysa Bhardwaj,1.4,14,A occaecati distinctio ipsam officiis aut.,Vashi,Vashi,26,Male
cust702,Eshani Swaminathan,1.0,100,Enim inventore harum delectus magnam.,Bandra,Dadar,30,Female
cust703,Emir Krishna,2.5,81,Officiis minima voluptas quos nobis iste consequatur.,Malad,South Mumbai,55,Other
cust704,Reyansh Date,2.0,10,Ullam eligendi earum saepe quos facilis porro voluptatum.,Colaba,South Mumbai,30,Other
cust705,Saanvi Gola,2.8,17,Fugit ipsum aspernatur quos porro eveniet sint.,South Mumbai,Sion,39,Male
cust706,Shayak Desai,1.2,60,Nesciunt aliquid doloremque amet cumque deleniti error.,Colaba,Dadar,54,Female
cust707,Diya Rajagopal,4.3,51,Placeat distinctio officia.,Kurla,Colaba,42,Other
cust708,Pihu Soni,2.7,46,Quas assumenda nihil exercitationem praesentium odio.,Bandra,Sion,29,Female
cust709,Rhea Vaidya,2.1,20,Rem dolore ipsa cupiditate deserunt iusto reprehenderit maiores.,Colaba,Borivali,57,Other
cust710,Hrishita Shankar,2.0,38,Magnam voluptatum labore illo quia ipsum qui.,Kurla,Ghatkopar,53,Female
cust711,Abram Jani,1.2,36,Cumque quisquam hic nulla aliquid dolorem placeat.,Ghatkopar,Dadar,44,Male
cust712,Dhanuk Baria,3.6,68,Voluptates facere quas nemo porro repellat distinctio.,Bandra,Malad,52,Male
cust713,Yuvraj  Contractor,5.0,92,Quos vel sit.,Juhu,Kurla,52,Female
cust714,Bhamini Venkataraman,2.4,73,Non quam ipsum molestiae.,Thane,Juhu,42,Female
cust715,Sumer Dua,1.7,41,Commodi similique voluptates iste cum voluptas cupiditate.,Borivali,Bandra,19,Female
cust716,Tarini Sethi,1.2,61,Sit repellendus error.,Thane,Juhu,55,Male
cust717,Hansh Mahajan,4.9,13,Sapiente exercitationem autem vitae beatae.,Bandra,Malad,33,Female
cust718,Samaira Mahajan,3.1,95,Eligendi praesentium ipsam pariatur aliquid odio.,Colaba,Vashi,32,Other
cust719,Armaan Shroff,4.4,50,Accusantium eaque molestiae commodi explicabo repudiandae.,Juhu,Sion,29,Male
cust720,Advika Yadav,1.9,41,Ullam saepe debitis pariatur sequi.,Vashi,Versova,62,Female
cust721,Sara Borra,4.7,4,Quisquam voluptatem iure.,Versova,Versova,40,Other
cust722,Renee Halder,3.3,73,Occaecati fuga ab eius facere consectetur similique.,Bandra,Kandivali,49,Other
cust723,Dhanuk Garde,2.2,63,Amet deserunt eligendi corrupti ex dolorum delectus.,Colaba,South Mumbai,21,Male
cust724,Saanvi Sanghvi,3.4,3,Eaque a ad minima.,Thane,Kurla,18,Female
cust725,Zara Atwal,4.7,26,Quidem tenetur molestiae quae necessitatibus repudiandae.,Vashi,Dadar,39,Other
cust726,Vidur Badal,1.7,42,Iure provident eius magni quibusdam.,Colaba,Colaba,27,Other
cust727,Aarush Kulkarni,3.8,19,Doloribus molestias eligendi facilis.,Vashi,South Mumbai,51,Female
cust728,Pari Chowdhury,4.8,48,Non alias et veniam ea accusantium.,Versova,Malad,43,Other
cust729,Ritvik Maharaj,1.4,39,Rerum quis iste odio dolor neque.,Juhu,Dadar,28,Other
cust730,Prisha Dey,4.8,82,Est facilis fugit iure.,Kurla,Malad,38,Male
cust731,Samar Som,3.8,72,Temporibus quisquam voluptates dignissimos ipsa aliquid voluptas.,Versova,Sion,57,Female
cust732,Abram Mani,1.9,76,Minus similique reiciendis reprehenderit delectus.,Kandivali,Dadar,42,Female
cust733,Purab Lall,3.9,38,Sint veritatis eaque sint omnis repellendus.,Dadar,Dadar,64,Male
cust734,Lavanya Dash,4.8,74,Explicabo ut debitis cupiditate illum.,Ghatkopar,Kandivali,54,Male
cust735,Biju Kaul,1.7,41,Modi fugit reiciendis quisquam sapiente eaque esse corrupti.,Sion,Vashi,57,Male
cust736,Kavya Bhagat,3.6,14,Tenetur voluptates sapiente.,Sion,Kurla,27,Female
cust737,Arnav Deo,4.0,31,Quos ex excepturi molestiae similique quia voluptates.,Juhu,Juhu,28,Other
cust738,Shamik Dube,4.5,12,Tenetur natus vero repudiandae.,Kandivali,Versova,60,Other
cust739,Samiha Majumdar,3.9,43,Architecto natus veniam consectetur reprehenderit exercitationem commodi.,Kurla,Colaba,34,Male
cust740,Manikya Malhotra,2.0,9,Saepe perferendis quibusdam quis architecto ducimus occaecati.,Juhu,Andheri,24,Other
cust741,Ehsaan Chauhan,1.0,50,Eos sapiente quaerat cupiditate architecto eligendi sunt ad.,Kurla,Versova,44,Male
cust742,Shanaya Magar,4.5,64,Minima molestias porro.,Sion,Ghatkopar,40,Other
cust743,Vritika Dua,2.5,62,Repellat ipsa itaque necessitatibus.,Vashi,Kandivali,54,Other
cust744,Divyansh Deep,4.0,29,A dicta reprehenderit aspernatur.,Dadar,Kurla,22,Male
cust745,Trisha Acharya,2.2,41,At ratione sed quae ducimus adipisci veritatis.,Andheri,South Mumbai,22,Female
cust746,Nitara Sarin,1.7,49,Incidunt facere deleniti porro quas.,Dadar,Versova,22,Other
cust747,Nirvi Sem,4.8,12,Perferendis voluptatem corporis facere fugiat beatae doloremque.,Juhu,Borivali,57,Female
cust748,Zara Shukla,3.8,56,Dicta in voluptates cupiditate.,Malad,Dadar,56,Female
cust749,Damini Sabharwal,1.6,13,Ratione enim tenetur facere voluptates nam quasi.,Juhu,Bandra,30,Female
cust750,Emir Kamdar,3.8,93,Aspernatur officia commodi quibusdam aliquam alias.,Sion,Versova,52,Female
cust751,Oorja Rana,3.6,39,Atque facilis voluptatem debitis.,Bandra,South Mumbai,21,Female
cust752,Mamooty Mahal,3.3,63,Quas quod fuga praesentium exercitationem blanditiis fuga.,Dadar,Colaba,41,Male
cust753,Advik Gokhale,2.7,38,Maxime ipsam fugiat exercitationem nobis.,Kandivali,Malad,58,Other
cust754,Diya Rajagopal,2.9,13,Laborum sapiente ipsum unde quae.,Colaba,Bandra,28,Other
cust755,Tejas Sawhney,2.2,11,Nobis facilis velit sint corporis nostrum atque.,Kurla,Kandivali,25,Female
cust756,Ryan Sachar,4.1,61,Iste unde omnis doloremque.,Kurla,Sion,60,Female
cust757,Advik Mahal,1.4,70,Explicabo numquam atque possimus molestias veniam neque.,Ghatkopar,Dadar,41,Female
cust758,Tanya Warrior,2.5,58,Repudiandae est amet harum ex accusantium modi.,Colaba,Andheri,46,Female
cust759,Akarsh Kala,2.1,35,Magni mollitia mollitia fuga.,Borivali,Colaba,27,Other
cust760,Ahana  Chawla,3.7,11,Sapiente dolore ratione nostrum quis voluptates quae.,Malad,Juhu,52,Female
cust761,Ojas Ganesan,4.9,76,Eius architecto dolores sed dignissimos.,Bandra,Thane,21,Female
cust762,Tarini Dhingra,4.3,54,Accusantium quo consequuntur est.,Thane,Malad,48,Other
